,org_sent,processed_sent
0,"Close to amenities, shops, transit, and tomes Square.",close amenity shop transit tome square .
1,Everything was great.,everything great .
2,They even let us check in an hour early.,even let check hour early .
3, staff was very rude...especially security,staff rude especially security
4,"Great location, surroundings (inside and outside) and service at a good value.",great location surrounding inside outside service good value .
5,The location is absolutely perfect,location absolutely perfect
6,Never will stay again also that still haven't refunded my deposit,never stay also still refund deposit
7,This hotel was an amazing find for our nyc trip.,hotel amazing find nyc trip .
8,Really swanky and insanely convenient to get anywhere in the city.,really swanky insanely convenient get anywhere city .
9,Yes the rooms are a bit small ,yes room bit small
10, you’re in nyc so it’s to be expected and It most certainly did not take away from the amazing experience!,nyc expect certainly take away amazing
11,Totally worth it.,totally worth .
12,Would definitely stay here again.,would definitely stay .
13," very small and kind of cramped for two, especially when you consider it cost us over $350 for one night.",small kind cramp two especially consider cost one night .
14,"The lobby was really nice and spacious, though.",lobby really nice spacious though .
15,There were not any room service options.,room service option .
16,"Wifi was decent, and room amenities were basic.",wifi decent room amenity basic .
17,The customer service was amazing.,customer service amazing .
18,Reina (hotel associate) was kind and very helpful.,reina hotel associate kind helpful .
19,I'll definitely be recommending this place.,ill definitely recommend place .
20,The hotel itself was nice and clean and had a great view of the city.,hotel nice clean great view city .
21,It was the perfect location.,perfect location .
22,Room was clean and inviting.,room clean inviting .
23,Great location near Times Square!,great location near time
24,Theater and great food options in proximity.,theater great food option proximity .
25,"Firm mattress, clean room great location",firm mattress clean room great location
26,One full bed convenient regarding city locale,one full bed convenient regard city locale
27," really Comfortable, I loveee the view and the Staff Attentions , Honestly Row NYC Its the #1 in my hotels booking",really comfortable lovee view staff attention honestly row nyc hotel book
28,Great location.,great location .
29,Easy check in and good price,easy check good price
30,Ok. hotels should provide coffee in every room ROWNYC has none and charge $4.00 for a cup downstairs in the bar.,ok . hotel provide coffee every room rownyc none charge cup downstairs bar .
31,The Row NYC is our new favorite New York hotel.,row nyc new favorite new york hotel .
32,"The staff is great, it was clean, in a great location, and comfortable.",staff great clean great location comfortable .
33,Great price for the location to Times Square!,great price location time
34,I did want to clarify our previous rating.,want clarify previous rating .
35,The bed was perfectly comfortable.,bed perfectly comfortable .
36,The cleanliness of the room was mediocre at best.,cleanliness room mediocre good .
37,"The bathroom was dirty, mold in the caulk, hair on the floor from the previous guests.",bathroom dirty mold caulk hair floor previous guest .
38,We had to take face cloths from the housekeeping carts because we were never provided anything ,take face cloth housekeeping cart never provide anything
39, hand towels and bath towels.,hand towel bath towel .
40,Popcorn paint bubbling up and practically falling due to the fact there was no blower fan in the bathroom.,popcorn paint bubble practically fall due fact blower fan bathroom .
41, never replenished throughout our 4 day stay.,never replenish throughout day stay .
42,One nice thing is we were provided disposable water bottles to take with us as we were vacationing on the hottest weekend of the summer.,one nice thing provide disposable water bottle take vacation hot weekend summer .
43,The location of the hotel itself in the theater district was perfect!,location hotel theater district
44,I would stay there again if they did a little updating of the rooms and improved cleanliness.,would stay little updating room improved cleanliness .
45,The hotel was clean and the staff were pleasant to work with.,hotel clean staff pleasant work .
46,The location was great.,location great .
47,The location was fabulous; the desk & concierge staff were very attentive & helpful; the window shades darkened the room significantly; there was a room safe.,location fabulous desk concierge staff attentive helpful window shade darken room significantly room safe .
48,"On the other hand, the room was very small; the electrical outlet in the bathroom was on the opposite wall as the shelf, making plugging in an electric toothbrush/ razor impossible; there was a lot of dust on the chair rail in the bathroom.",hand room small electrical outlet bathroom opposite wall shelf make plug electric razor impossible lot dust chair rail bathroom .
49,"Nice hotel, I was pleased",nice hotel pleased
50,Hate sharing a bed with anyone.,hate share bed anyone .
51,I upgraded to two full beds.,upgrade two full bed .
52,Room was very spacious for New York!,room spacious new
53,"HOWEVER, guest services was trash.",however guest service trash .
54,It was impossible to get new towels and our trash taken out.,impossible get new towel trash take .
55,Had to call multiple times and got greeted with one word answers and awkward hang ups.. And I called about a foul smell in the bathroom and no one responded or came to check on it.,call multiple time get greet one word answer awkward hang call foul smell bathroom one respond come check .
56,Clean sheets.,clean sheet .
57,The hotel is what you would expect from any busy place near Times Square.,hotel would expect busy place near time square .
58,"It was smelly, congested, and not very clean.",smelly congest clean .
59,"The only saving grace, was that our room was cool and the beds were comfortable.",save grace room cool bed comfortable .
60,Definitely not the cleanest.,definitely clean .
61,Great hotel and location.,great hotel location .
62,Cheap price from Groupon.,cheap price groupon .
63,Cheap price from Groupon,cheap price groupon
64,"The location was great, the accommodations were different and fun, and we had a wonderful time.",location great accommodation different fun wonderful time .
65,Awesome check in and check out service.,awesome check check service .
66,Guest service personnel were warm and inviting.,guest service personnel warm inviting .
67,Awesome murals at the end of each hallway.,awesome mural end hallway .
68,Great add a touch.,great add touch .
69,Our room was clean and efficient for need.,room clean efficient need .
70,We travel our main concern is cleanliness.,travel main concern cleanliness .
71,The Row definitely met that need.,row definitely meet need .
72,Would definitely stay again.,would definitely stay .
73,The absolute WORST hotel I've ever stayed at!,absolute bad hotel ever stay
74,"So bad I didnt stay the night, I was terrified.",bad stay night terrify .
75,"I thought someone was breaking in my room there was a sketchy connecting door, place is totally outdated, room look like it wld have bed bugs, the ""guests"" look like they live there like a shelter,they were walking barefoot,place smelled like 1000 cigarettes.It's called the row, should be called skid row!",think someone break room sketchy connect door place totally outdated room look like wld bed bug guest look like live like walk smell like cigarettes.it call row call skid
